sp_x,sp_y,sp_z,x_r,y_r,z_r,ang,pow
8.13686496244831,8.13686496244831,69.0476853860125,-8.13686496244831,-8.13686496244831,-69.0476853860125,3.54768586522066,0.377588478466234
23.3474945257904,6.2559423034756,65.694426592092,-23.3474945257904,-6.2559423034756,-65.694426592092,4.89254915180828,0.402106619006706
17.0915522223148,17.0915522223148,65.694426592092,-17.0915522223148,-17.0915522223148,-65.694426592092,4.89254915180828,0.402106619006706
6.25594230347561,23.3474945257904,65.694426592092,-6.25594230347561,-23.3474945257904,-65.694426592092,4.89254915180828,0.402106619006706
35.2968717564667,7.02098432217497,60.0402916661413,-35.2968717564667,-7.02098432217497,-60.0402916661413,5.65118300616678,0.441980847324159
29.9232429984838,19.9940717488551,60.0402916661413,-29.9232429984838,-19.9940717488551,-60.0402916661413,5.65118300616678,0.441980847324159
19.9940717488551,29.9232429984838,60.0402916661413,-19.9940717488551,-29.9232429984838,-60.0402916661413,5.65118300616678,0.441980847324159
7.02098432217497,35.2968717564667,60.0402916661413,-7.02098432217497,-35.2968717564667,-60.0402916661413,5.65118300616678,0.441980847324159
46.1469971666177,6.0753674331437,52.2833105594556,-46.1469971666177,-6.0753674331437,-52.2833105594556,1.18538375077997,0.436476398495459
43.0021555712313,17.8120760488817,52.2833105594556,-43.0021555712313,-17.8120760488817,-52.2833105594556,1.18538375077997,0.436476398495459
36.9267881380876,28.3349211177359,52.2833105594556,-36.9267881380876,-28.3349211177359,-52.2833105594556,1.18538375077997,0.436476398495459
28.3349211177359,36.9267881380876,52.2833105594556,-28.3349211177359,-36.9267881380876,-52.2833105594556,1.18538375077997,0.436476398495459
17.8120760488817,43.0021555712313,52.2833105594556,-17.8120760488817,-43.0021555712313,-52.2833105594556,1.18538375077997,0.436476398495459
6.07536743314371,46.1469971666177,52.2833105594556,-6.07536743314371,-46.1469971666177,-52.2833105594556,1.18538375077997,0.436476398495459
55.1230269074301,6.21087349785307,42.6951631330343,-55.1230269074301,-6.21087349785307,-42.6951631330343,2.67563830615471,0.428624246673956
52.3589281645765,18.3211813620277,42.6951631330343,-52.3589281645765,-18.3211813620277,-42.6951631330343,2.67563830615471,0.428624246673956
46.9693341317072,29.5127886901193,42.6951631330343,-46.9693341317072,-29.5127886901193,-42.6951631330343,2.67563830615471,0.428624246673956
39.2245015586151,39.2245015586151,42.6951631330343,-39.2245015586151,-39.2245015586151,-42.6951631330343,2.67563830615471,0.428624246673956
29.5127886901193,46.9693341317072,42.6951631330343,-29.5127886901193,-46.9693341317072,-42.6951631330343,2.67563830615471,0.428624246673956
